100000 500
-760408767 32658468 9615
-495216111 849236546 7217
-249766636 790449902 1811
840098573 996663454 4485
664718595 771572954 877
40944197 973087575 7333
521101963 672008544 8278
-173600305 808845084 6126
-455878454 50642361 9663
-237254990 57198833 3679
122215777 764420169 2495
-361669634 718939554 2172
23634778 712641639 5242
157857428 840506813 1245
-672871336 -604243308 2650
-903349601 16164390 1665
990284248 992008672 8081
62124270 593821387 1522
886291939 989823991 6146
-68320253 302659664 9174
-805429562 667337340 1931
-785881078 -75491598 4270
947392266 993573173 1366
483567475 907708460 3993
218229914 591367933 4261
385396607 671829290 8879
-396594180 -113853033 7125
705847342 979090483 5728
-334678889 188791903 4239
523101458 865804364 346
-777274310 -543204004 8718
80564466 366722059 3127
-990560227 258442259 1214
229297332 259757931 7226
-88734699 123651229 1364
26210833 889644116 2587
327685293 531842726 3746
-225295365 993253443 9516
908143990 954305161 4223
887255224 955372456 6188
701713170 786753238 6199
138535145 451256243 8929
421508170 465041434 5650
-892813317 -550658228 7992
-736006925 222529558 1180
628641604 946847506 9470
700435242 736077010 4442
958620419 990278744 1671
593226862 850264431 6031
946564602 990629790 8831
-562792883 599116193 4745
-287683285 -150289921 627
-685112312 533254958 3064
731454912 956330345 1641
184290467 195808333 4991
750920811 832220499 5884
559567721 817318094 5249
114970281 586299147 2122
360053366 911019715 9888
-300032846 231298818 7474
-549070643 96804620 4048
576399684 956977748 5714
27423201 315897911 2859
-978791543 -218295550 5086
796840527 869110219 8910
-177062152 60939345 1886
-592429373 -396237693 7928
394091374 667192048 1467
210314520 855641018 8699
-931598171 9099237 785
675913442 782670458 1976
-714514053 996879311 8904
872789425 915473287 7502
985696098 998212310 7072
662880565 730789674 6170
702290672 891576159 4013
-987043302 -26395454 2528
-631551199 249119570 6808
-843062219 -447954319 3768
-997402659 -870190974 916
630649365 846410562 6841
201046375 401760020 9921
695214143 724777789 8944
342768606 703347489 2554
-997247302 -793535162 9113
-889246941 350432657 5389
-572772953 256929503 4145
-128621893 809182761 881
-224540921 698829361 5506
552400031 882438183 5529
973046343 990099583 806
-788728312 466952678 403
986699831 990519206 8829
-909027260 -699712645 28
886604119 932662377 8192
-72448697 567026886 4617
-310950331 26523422 5823
-302239435 -133702911 5067
135749285 464425917 2180
493178616 734967463 3393
345888530 628202969 6717
-201732636 988487834 5482
505101815 511478077 466
314180903 933811838 8948
329240340 644841609 1982
771037304 783987632 5047
-80724948 257047285 1782
-535801357 -114656690 1529
866095958 971411570 3329
-99157664 518466990 667
-227103859 -164325204 8416
843376615 933208018 4358
-822525090 576065776 7896
-153329069 997380255 4596
945278455 969445737 910
-74121237 209678068 317
783719499 986742078 7733
-308595409 -171782057 8906
-280962172 701704330 2080
174055162 577986098 244
204332855 734422495 6667
-716076887 -41854875 4648
-785098609 262349229 7750
925434747 998073892 7434
-287411793 410785433 7028
-495718876 28592942 3747
153123480 757533821 6974
-319643044 -243666745 3731
723860564 970163153 8919
39512086 282458131 5375
388338204 704354927 8590
242945185 594759045 3031
-670415462 -299599832 726
-564351965 -17738693 5507
638908909 762813963 3400
952739627 971471757 4780
449020634 837311730 5807
-593534648 54039785 8711
507783749 721499285 5702
-848368517 693246722 729
677565592 786559410 2989
-295934864 -281912997 9185
-579823589 346055241 5761
-2793953 88199100 4665
-618282178 -522071881 5886
-649997296 614166770 8466
-511040777 -238204107 6522
-294906684 109686780 1303
-420494564 -76932206 2300
835345695 958807852 2924
-793782641 531400991 7521
-796281912 266856232 3320
