100000 100
488577 498577 140
921570 931570 383
13357 23357 983
89507 99507 737
475659 485659 366
69634 79634 384
848960 858960 867
246210 256210 261
732578 742578 994
870013 880013 371
484198 494198 766
732370 742370 256
749690 759690 686
361913 371913 243
623036 633036 833
238773 248773 452
79221 89221 757
748284 758284 38
324106 334106 300
644726 654726 21
13589 23589 633
261067 271067 733
539402 549402 601
459928 469928 138
922917 932917 551
629677 639677 323
599136 609136 994
550771 560771 463
950346 960346 561
369460 379460 572
197728 207728 892
340020 350020 184
431337 441337 753
56602 66602 204
168973 178973 657
620018 630018 138
428243 438243 292
510418 520418 611
319593 329593 577
528191 538191 160
364406 374406 155
489223 499223 548
779890 789890 72
474174 484174 901
493744 503744 445
334565 344565 243
498965 508965 425
240370 250370 773
635956 645956 365
611588 621588 253
604166 614166 242
341732 351732 21
744873 754873 9
428365 438365 151
354346 364346 453
701216 711216 590
860709 870709 408
80952 90952 22
864638 874638 355
483146 493146 281
221419 231419 354
753261 763261 573
98135 108135 6
837134 847134 35
723826 733826 435
984706 994706 153
380907 390907 639
743920 753920 769
938325 948325 624
875432 885432 986
391510 401510 533
596382 606382 933
210973 220973 274
776340 786340 382
375363 385363 723
795545 805545 72
117329 127329 814
923403 933403 70
577222 587222 925
278331 288331 471
483082 493082 572
978258 988258 186
803398 813398 835
64764 74764 658
707758 717758 193
922105 932105 185
329981 339981 158
146864 156864 534
462698 472698 352
424463 434463 804
734557 744557 666
447704 457704 914
822371 832371 105
239208 249208 657
378829 388829 446
331733 341733 310
253096 263096 615
822380 832380 582
661828 671828 649
865762 875762 152
82339 92339 737
610532 620532 468
337229 347229 715
155463 165463 150
83981 93981 392
276245 286245 32
970026 980026 719
376634 386634 798
209490 219490 482
770654 780654 14
353016 363016 639
281124 291124 203
648363 658363 736
164480 174480 509
759970 769970 147
398025 408025 103
570563 580563 985
956441 966441 446
7854 17854 511
442246 452246 581
748750 758750 869
531795 541795 900
341234 351234 141
698459 708459 269
806636 816636 436
374275 384275 938
452531 462531 854
370746 380746 965
688335 698335 15
814528 824528 923
96484 106484 986
687942 697942 412
114324 124324 705
967365 977365 510
590000 600000 758
250076 260076 445
793222 803222 843
623079 633079 150
661354 671354 255
835430 845430 36
251234 261234 19
558187 568187 652
379724 389724 699
689040 699040 916
402773 412773 659
101694 111694 3
50205 60205 769
821208 831208 789
312360 322360 204
60031 70031 382
904558 914558 77
920794 930794 544
673193 683193 18
359323 369323 710
430509 440509 399
558125 568125 332
153185 163185 391
434350 444350 325
611815 621815 168
911707 921707 181
216829 226829 311
896586 906586 240
446912 456912 406
529612 539612 806
854381 864381 878
814537 824537 364
316443 326443 400
945042 955042 888
944861 954861 899
469432 479432 836
341435 351435 369
6645 16645 563
99512 109512 598
870995 880995 91
12967 22967 274
451982 461982 998
966491 976491 917
629861 639861 90
553679 563679 46
803637 813637 533
670535 680535 829
902814 912814 867
379964 389964 601
368322 378322 570
591128 601128 317
39118 49118 539
575696 585696 837
891390 901390 800
196567 206567 57
701599 711599 423
801449 811449 425
943570 953570 345
277423 287423 299
866847 876847 22
385691 395691 40
202747 212747 924
745209 755209 265
794281 804281 527
940183 950183 943
333652 343652 94
515694 525694 772
353202 363202 582
666363 676363 982
637141 647141 613
771826 781826 677
2956 12956 200
752888 762888 711
191741 201741 726
698402 708402 731
821078 831078 265
784094 794094 94
321752 331752 816
597509 607509 392
279669 289669 117
360640 370640 982
207703 217703 282
10915 20915 822
484648 494648 913
168357 178357 933
133622 143622 170
976572 986572 512
464787 474787 792
59516 69516 986
281318 291318 528
650141 660141 109
772662 782662 939
354489 364489 417
502201 512201 855
166348 176348 747
711625 721625 112
8496 18496 816
665032 675032 58
84134 94134 413
688941 698941 203
369287 379287 805
688796 698796 300
82633 92633 468
589463 599463 952
391729 401729 175
470202 480202 431
561772 571772 453
555075 565075 394
193787 203787 14
393995 403995 301
194495 204495 973
785000 795000 137
380956 390956 487
406030 416030 703
72957 82957 910
1679 11679 488
877374 887374 49
607649 617649 535
229603 239603 16
29609 39609 336
5992 15992 135
397298 407298 407
407955 417955 795
130892 140892 885
925215 935215 490
770942 780942 833
248581 258581 460
662248 672248 390
180762 190762 748
502197 512197 717
24642 34642 837
138201 148201 370
780317 790317 90
459304 469304 913
637282 647282 561
664684 674684 17
393321 403321 335
188095 198095 194
839952 849952 535
238903 248903 322
405540 415540 539
238385 248385 377
178162 188162 824
563441 573441 51
283468 293468 38
916199 926199 514
396273 406273 104
138459 148459 63
272715 282715 26
841134 851134 359
234503 244503 256
129199 139199 461
651657 661657 389
854873 864873 71
309923 319923 829
30245 40245 354
513762 523762 124
76462 86462 954
210765 220765 828
760741 770741 74
640467 650467 471
819503 829503 417
734329 744329 74
613852 623852 591
229346 239346 347
336805 346805 860
273579 283579 829
833209 843209 239
713242 723242 630
355871 365871 724
332669 342669 933
762523 772523 923
259257 269257 717
23286 33286 596
550868 560868 7
688095 698095 319
501697 511697 258
106749 116749 7
234214 244214 46
176044 186044 353
748048 758048 775
587706 597706 708
10075 20075 113
864820 874820 569
422345 432345 194
690048 700048 292
448230 458230 279
288244 298244 725
589753 599753 343
461743 471743 634
374561 384561 372
751640 761640 220
789984 799984 40
3911 13911 205
585120 595120 96
103664 113664 485
316553 326553 42
892007 902007 129
669117 679117 713
976141 986141 676
303370 313370 99
574661 584661 71
548248 558248 729
847575 857575 510
344458 354458 1
531364 541364 861
70667 80667 362
100465 110465 388
578391 588391 744
732885 742885 43
549852 559852 21
48202 58202 561
626970 636970 347
370404 380404 166
322015 332015 217
548830 558830 87
932476 942476 46
883105 893105 334
9685 19685 276
219750 229750 858
648032 658032 963
852950 862950 762
358115 368115 69
166184 176184 594
682803 692803 541
976739 986739 644
348495 358495 212
199328 209328 850
623564 633564 493
957831 967831 127
516863 526863 172
193589 203589 574
502304 512304 137
323713 333713 517
705282 715282 948
196689 206689 824
49020 59020 338
720104 730104 692
243341 253341 414
156559 166559 587
536181 546181 813
493368 503368 629
984035 994035 920
222921 232921 283
637386 647386 733
249339 259339 326
816641 826641 331
869171 879171 455
754301 764301 462
217298 227298 989
576067 586067 978
276320 286320 608
848204 858204 851
514534 524534 724
212241 222241 303
121719 131719 441
644844 654844 385
300405 310405 404
718046 728046 913
619095 629095 895
312449 322449 991
373130 383130 68
643009 653009 154
28725 38725 395
155575 165575 756
165706 175706 834
599546 609546 93
60922 70922 669
256865 266865 14
521087 531087 367
324469 334469 805
341952 351952 27
782653 792653 802
475598 485598 241
309053 319053 884
524763 534763 766
192626 202626 198
247452 257452 979
830576 840576 306
495180 505180 392
10668 20668 138
150365 160365 69
415083 425083 652
563491 573491 54
544223 554223 226
535457 545457 344
587548 597548 998
112075 122075 771
369644 379644 303
