1000 50
575772294 997555876 6329
-139316728 523270021 1892
712924666 850604882 5377
-38668588 344326614 90
-600008913 204046826 5858
-739337303 940456723 3466
-353668851 -165257322 1915
747359829 979978241 3294
-375830827 -348583986 2252
-188613811 265745739 5064
754485882 756046632 2121
-842333055 446047016 8370
-359939123 680532707 7910
-461702501 -120501955 4169
556298185 883969304 8963
245094166 738335221 5008
639918824 987501860 5457
-696709309 950126474 6035
708151289 894062060 2259
994820899 999881067 5711
665468366 890144884 9912
817080745 861477158 9334
-285691252 -218244454 4883
984955518 988769576 1893
591582786 827649825 1921
-570073347 -169804406 5348
406605733 741591465 4593
-534104575 842922428 5171
982537240 988463413 6009
-529384092 -280075200 540
-603301126 249434451 6878
539178545 563767307 1286
-496836405 768331933 5233
882720807 935984875 9930
828525805 933478462 3668
589401512 938995876 7646
735760801 841791837 3364
-193693469 423302814 2272
775398749 973095542 3144
682482872 965832570 2740
-253007892 746421743 9702
-866871803 -143499616 7493
217171265 615106194 7521
-461995976 -277541001 1459
76027372 332901083 573
-359714036 -200704215 2689
-521766464 614922191 1993
-194780192 154830471 3200
913782612 998371431 9040
27090734 528405362 3435
-518414741 -291681464 8524
478675009 612214636 8970
511211926 983928356 4835
-212747321 161785160 8983
806142881 835248468 6769
109755199 295436217 160
-764483566 -451147085 1871
-246364475 646558580 504
838677175 945413020 7611
902937413 925559352 2479
576601676 739866286 4321
927537668 945039783 2507
266679318 848012535 7846
145926730 794114527 8014
601576353 751984834 5964
-986552190 -533591088 1748
-611993301 -278083301 7393
657840152 798441503 7538
691347282 989769297 1269
-512587689 835976296 8211
256211586 734197407 4765
-598691825 819593622 7338
-582415293 743948391 2855
-100904828 321811045 7600
-264940521 218026663 7321
-916973313 -693292453 9921
152255925 371230734 7906
-157868764 502870156 1584
144735504 744827999 3542
-987699340 -305172343 5996
-835393444 787332291 8847
380832988 422656750 1922
-415642883 -101006646 3085
240288673 399221810 3795
-125167907 258679170 226
-974092595 -329656779 3001
-131010830 70884934 1394
-871170213 75982346 2205
271978638 914652141 3159
-839725157 -556646032 2205
496807545 583235968 4390
972961624 985452714 449
-662453355 392598252 384
-21840681 666330934 9066
-230304346 649807937 8379
-998384483 956282546 5420
-320955115 -235606096 9820
788905165 990114402 3847
718448557 776137237 9913
-962141101 930421922 9722
764133879 820550846 7971
-880683882 -399662308 3734
